Discussed	Authors	Title	Year	Abstract
	Bryl V.; Giorgini P.; Fante S.	An implemented prototype of Bluetooth-based multi-agent system	2005	People tend to form social networks within specific geographical areas. This is motivated by the fact that the geographical locality corresponds generally to common interests and opportunities offered by the people active in the area (e.g. students of a university could be interested to buy or sell textbooks adopted for a specific course, to share notes, or just to meet together to play basketball). Cellular phones and more in general mobile devices are currently widely used and represent a big opportunity to support social communities. We present an application of multi-agent systems accessible via mobile devices (cellular phones and PDAs), where Bluetooth technology has been adopted to reflect users locality. We illustrate an implemented prototype of the proposed architecture and we discuss the opportunities offered by the system.
	Corradini F.; Culmone R.; Di Berardini M.R.; Merelli E.	Integrating ontologies in mobile agents	2005	The process of information extraction and data integration in a global information system demands automatic techniques for quickly determining semantic similarity among concepts across different ontologies. This paper presents a graph based approach for computing, on-the-fly, semantic similarities among ontologies of a specific domain. The approach consists of integrating mobile agents and ontologies to support a variety of applications in distributed environments. The resulting technique is illustrated on Hermes, agent-based middleware for mobile computing, by an example in molecular biology domain.
	Baroni P.; Gerevini A.; Toninelli P.	MAgentA: A multi-agent system for the management of agenda and meetings; [MAgentA: un sistema multi agente per la gestione di agende e riunioni]	2005	[No abstract available]
	Cabri G.; Ferrari L.; Leonardi L.; Quitadamo R.	Improving Aglets with strong agent mobility through the IBM JikesRVM	2005	Agents are problem-solving entities that, thanks to characteristics such as autonomy, reactivity, proactivity and sociality, together with mobility, can be used to develop complex and distributed systems. In particular, mobility enables agents to migrate among several hosts, becoming active entities of networks. Java is today one of the most exploited languages to build mobile agent systems, thanks to its object-oriented support, portability and network facilities. Nevertheless, Java does not support strong mobility, i.e., the mobility of threads along with their execution state; thus developers cannot develop agents as real mobile entities. This paper reports our approach for Java thread strong migration, based on the IBM Jikes Research Virtual Machine, presenting our results and proposing an enrichment of the Aglets mobile agent platform in order to exploit strong agent mobility.
	Chesani F.; Ciampolini A.; Mello P.; Montali M.; Torroni P.; Alberti M.; Storari S.	Protocol specification and verification by using computational logic	2005	The aim of this paper is to report on some preliminary results obtained in the context of the MASSIVE research project (http://www.di.unito.it/massive/) relating the formal specification and verification of protocols in some different application field. A protocol is a way to express the right behavior of entities involved in a (possibly complex and distributed) process. The formalism to be used for protocol description should be as intuitive as possible, but it should be also formally defined, in order to allow formal checks both on the features of the protocol itself (e.g. termination), and also on the execution of it. To this purpose, we will show some results obtained by exploiting the SOCS - SI logic-based framework for the specification and the verification of protocols in various applicative fields such as electronic commerce, medicine and e-learning. We will also present a new graphical notation to express medical guidelines, which could be automatically translated into the SOCS formalism.
	Armano G.; Cherchi G.; Manconi A.; Vargiu E.	PACMAS: A Personalized, Adaptive, and Cooperative MultiAgent System architecture	2005	In this paper, a generic architecture, designed to support the implementation of applications aimed at managing information among different and heterogeneous sources, is presented. Information is filtered and organized according to personal interests explicitly stated by the user. User profiles are improved and refined throughout time by suitable adaptation techniques. The overall architecture has been called PACMAS, being a support for implementing Personalized, Adaptive, and Cooperative MultiAgent Systems. PACMAS agents are autonomous and flexible, and can be made personal, adaptive and cooperative, depending on the given application. The peculiarities of the architecture are highlighted by illustrating three relevant case studies focused on giving a support to undergraduate and graduate students, on predicting protein secondary structure, and on classifying newspaper articles, respectively.
	Cordì V.; Lombardi P.; Martelli M.; Mascardi V.	An ontology-based similarity between sets of concepts	2005	To help sharing knowledge in those contexts where documents and services are annotated with semantic information, such as the Semantic Web, defining and implementing the similarity between sets of concepts belonging to a common ontology may prove very useful. In fact, if both the required and the provided pieces of information (be they textual documents, services, images, or whatever) are annotated with sets of concepts taken from a reference ontology O, the evaluation of how good a piece of information P is, w.r.t. the required one R, may be based on the similarity between the two sets of concepts that describe P and R. One of the first applications of the agent technology, aimed at "reducing work and information overload", was that of retrieving and filtering information in an automatic way. Thus, the possibility to calculate the semantic distance between two sets of concepts finds a natural application in the agent field, in particular for improving those agents that act as "digital butlers" for their human owners, by exploring the Semantic Web and looking for useful documents and/or services. Unfortunately, the metrics for calculating the semantic distance between two sets of concepts that can be found in the literature, are often very simple and do not meet some requirements that, up to us, make the metric closer to the common sense reasoning. For this reason, we have designed and implemented two new algorithms for computing the similarity between sets of concepts belonging to the same ontology.
	Cabitza F.; Locatelli M.P.; Sarini M.	CASMAS: An agent-based support for modulated participation in cooperative applications	2005	This paper proposes CASMAS: an agent-based model to design an environment of collaborative applications by taking into account the notion of community. Within this model, communities are characterized by declarative rules that express and shape the participative behavior of the community members. The degree of participation of each member can dynamically change according to her physical location and her position in the logical space of the applications used within the community. The paper shows how this approach can facilitate the design of collaborative applications that are community-aware, that is augmented with mechanisms by which to manage different levels of participation of the community members.
	Grosso A.; Boccalatte A.; Vecchiola C.	An infrastructure for mobility in AgentService; [Un'Infrastruttura per la Mobilità in AgentService]	2005	[No abstract available]
	Baldoni M.; Baroglio C.; Martelli A.; Patti V.; Schifanella C.; Torasso L.; Mascardi V.	Personalization, verification and conformance for logic-based communicating agents	2005	This paper is an overview of the work that we have carried on in the last two years in the context of the MASSiVE project. The main research lines have concerned personalization of the interaction with web services, personalization of courseware, web services interoperability, and integrated environments for agent oriented software engineering. All of them can be seen as applications of different reasoning techniques to a declarative specification of interaction. A declarative specification makes the study of properties easy and allows a fast prototyping of applications. In particular, we applied reasoning about actions and change to the personalized selection and composition of web services and to the construction of courseware that satisfies the user's needs and goals. This kind of reasoning has also been integrated in the DCaseLP MAS prototyping environment. Declarative specifications have also been helpful to face the problem of proving policy conformance in a way that guarantees web service interoperability. Finally, the adoption of process languages for web services for expressing the procedural behavior of adaptive BDI-style agents have been explored.
1	De Mola F.; Quitadamo R.	Towards an agent model for future autonomic communications	2006	The continuous growth in ubiquitous and mobile network connectivity, together with the increasing number of networked computational devices populating our everyday environments (e.g., PDAs, sensor networks, tags, etc.), call for a deep rethinking of traditional communication and service architectures. The emerging area of autonomic communication addresses such challenging issues by trying to identify novel flexible network architectures, and by conceiving novel conceptual and practical tools for the design, development, and execution of "autonomic" (i.e., self-organizing, self-adaptive and context-aware) communication services. In this paper, after having introduced the general concepts behind autonomic communications and autonomic communication services, we analyze the key issues related to the identification of suitable "component" models for autonomic communication services, and discuss the strict relation between such models and agent models. On this basis, we try to synthesize the key desirable characteristics that one should expect from a general-purpose agent model for autonomic communication services.
1	Augimeri A.; Folino G.; Forestiero A.; Spezzano G.	A multidimensional flocking algorithm for clustering spatial data	2006	In this paper, we describe the efficient implementation of M-Sparrow, an adaptive flocking algorithm based on the biology-inspired paradigm of a flock of birds. We extended the classical flock model of Reynolds with two new characteristics: the movement in a multi-dimensional space and different kinds of birds. The birds, in this context, are used to discovery point having some desired characteristics in a multidimensional space. A critical point of the algorithm is the efficient search of the k-neighbors in a multidimensional space. This search was efficiently implemented using the ANN libraries.
	Ricci A.; Buda C.; Zaghini N.; Natali A.; Viroli M.; Omicini A.	SimpA-WS: An agent-oriented computing technology forWS-based SOA applications	2006	This document briefly describes simpA-WS, a Java-based agent-oriented computing technology to flexibly and effectively implement WS-I compliant SOA/WS applications - i.e. Web-Service applications with a Service-Oriented Architecture - both on the user side and the service side.
	Federici M.L.; Redaelli S.; Vizzari G.	Models, abstractions and phases in Multi-Agent Based Simulation	2006	This paper introduces some considerations about simulation practice and a schema of the models that are implicitly and explicitly involved in a Multi-Agent Based Simulation (MABS). The aim of this work is to set simulation inside scientific framework. In order to do that we give an interpretation of the levels that compound a simulation and that constitute different kinds of abstraction. A clear awareness of the relations that exist between these levels and the corresponding steps, in fact, it is necessary if MABS wants to be adopted as a scientific investigation method. Our opinion is that this analysis suggests some answers to the objections that are often directed towards the use of simulation in scientific practice but also underlines some criticalities in this process.
	Garro A.; Iusi M.	Software agents for learning Nash Equilibria in non-cooperative games	2006	This paper describes SALENE, a Multi Agent System (MAS) for learning Nash Equilibria in non-cooperative games. SALENE is based on the following assumptions: if agents representing the players act as rational players, i.e. they act to maximise their expected utility in each match of a game, and if such agents play k matches of the game they will converge in playing one of the Nash Equilibria of the game. SALENE can be conceived as a heuristic and efficient method to compute at least one Nash Equilibria in a non-cooperative game represented in its normal form.
1	Seidita V.; Cossentino M.; Gaglio S.	A repository of fragments for agent systems design	2006	The creation of a new design process for a specific situation using the method engineering approach is based on the composition of a set of reusable method fragments. The request for these reusable method fragments leads to the need for a repository containing standardized fragments that can be easily selected and assembled in new design processes. In this work we present a definition of method fragment coming from the work of the FIPA Technical Committee Methodology and a repository where fragments are classified according to the specific process component (activity, process role, and work product) they underpin and on the specific MAS Metamodel element(s) they work on.
	Sguera S.; Stellato A.; Griesi D.; Pazienza M.T.	J-ALINAs: A JADE-based Architecture for LINguistic agents	2006	In this paper we present J-ALINAs, a JADE-based Architecture for LINguistic Agents. The purpose of this architecture is to support communication between agents whose beliefs and intentions are driven by different, heterogeneous, knowledge models. This objective, often referred in literature as semantic coordination, can be carried on through the identification of specific agent roles and behaviors dedicated to the mediation of agents' knowledge. In particular, such minimal hypotheses suggest an intelligent exploitation of natural language based technologies (resources and systems) as a necessary choice for capturing those similarities between the different knowledge models of agents trying to communicate, which are not in any way formally ratified. We aim to provide a flexible framework to be adopted in open multi-agent environments across different scenarios, providing a further abstraction level from the underlying details related to specific semantic coordination approaches; a high-cohesion and low-coupling design, and an agent-interaction protocol make possible for the architecture to face non-ideal use cases optimizing the communications among the agents. We discuss significant design issues, provide a prototypical implementation based on the JADE platform and a case study - MAPLE - integrating an ontology mapping component in the framework, showing flexibility of the architecture in real applications and its independence from any specific mapping algorithm. Finally we will look at the semantic coordination protocol we designed from a strictly formal perspective, providing a CCS (Milner's Calculus for Communicating Systems) description of the protocol itself.
1	Oliva E.; Viroli M.; Omicini A.	Minority Game: A logic-based approach in TuCSoN	2006	Minority Game is receiving an increasing interest because it models emergent properties of complex systems including rational entities, such as for instance the evolution of financial markets. As such, Minority Game provides for a simple yet stimulating scenario for system simulation. In this paper, we aim at presenting a logic approach to the Minority Game whose goal is to overcome the well-known limits of the equation model in the verification of the system behaviour. We realise the social system simulation using a novel MAS meta-model based on agents and artifacts, where the agent rationality is obtained using a BDI architecture. To this end, we adopt the TuCSoN infrastructure for agent coordination, and its logic-based tuple centre abstractions Abstract: artifact representatives. By implementing Minority Game over TuCSoN, we show some of the benefits of the artifact model in terms of flexibility and controllability of the simulation. A number of parameters can affect the behaviour of Minority Game simulation: such parameters are explicitly represented in the coordination artifact, so that they can be tuned up during the simulation. In particular, experiments are shown where memory size and number of wrong moves are adopted as the tuning parameters.
	Sabatucci L.; Cossentino M.; Gaglio S.	Building agents with agents and patterns	2006	The use of design patterns proved successful in lowering the development time and number of errors when producing software with the object-oriented paradigm. Now the need for a reuse technique is occurring for the emergent agent paradigm, for which a great effort is currently spending in methodology definitions. In this work we present our experiences in the identification, description, production and use of agents patterns. A repository of patterns was enriched during these years so to request a classification criteria and a documentation template useful to help user during the selection. Index Terms - Multiagent systems, patterns, reuse models and tools.
	Costantini S.; Dell'Acqua P.; Tocchio A.	Expressing preferences declaratively in logic-based agent languages	2006	In this paper we present an approach to introducing preferences among actions in logic-based agent-oriented languages. These preferences are expressed in the body of rules (i.e., they are local to the rule where they are defined). To the best of our knowledge, no similar approach has been proposed before, and cannot be easily simulated by means of preferences expressed in the head of rules, which are global. The approach is applied to choosing which action an agent should perform in reaction to an event, among the feasible ones.
1	Bicocchi N.; Mamei M.; Zambonelli F.	Mechanisms of self-organization in pervasive computing	2006	The mass deployment of sensors and pervasive computing systems expected in the next few years, will require novel approaches to program and gather information from such systems. Suitable approaches will be general purpose, independent of a specific scenario and sensor deployment, and able to adapt autonomically to different scales and to a number of unforeseen circumstances. This paper focuses on the requirements and issues of upcoming pervasive computing scenario, and surveys current research initiatives to deal with them. In particular researches addressing data retrieval and aggregation, macro-programming, and data integration in pervasive computing infrastructures will be detailed. Overall, the paper illustrates our ideas on collecting information from both sensor systems and Web resources and on linking them together in overlay knowledge network offering applications comprehensive and understandable information about their computational environment.
	Bartocci E.; Corradini F.; Merelli E.	Building a MultiAgent System from a User Workflow Specification	2006	This paper provides a methodology to build a MultiAgent System (MAS) described in terms of interactive components from a domain-specific User Workflow Specification (UWS). We use a Petri nets-based notation to describe workflow specifications. This, besides using a familiar and well-studied notation, guarantees an highlevel of description and independence with more concrete vendor-specific process definition languages. In order to bridge the gap between workflow specifications and MASs, we exploit other intermediate Petri nets-based notations. Transformation rules are given to translate a notation to another. The generated agent-based application implements the original workflow specification. Run-time support is provided by a middleware suitable for the execution of the generated code.
	Baldoni M.; Boella G.; Van Der Torre L.	Importing agent-like interaction in object orientation	2006	This paper begins with the comparison of the message-sending mechanism, for communication among agents, and the method-invocation mechanism, for communication among objects. Then, we describe an extension of the methodinvocation mechanism by introducing the notion of "sender" of a message, "state" of the interaction and "protocol" using the notion of "role", as it has been introduced in the powerJava extension of Java. The use of roles in communication is shown by means of an example of protocol.
	Caico R.; Cossentino M.; Sabatucci L.; Seidita V.; Gaglio S.	MetaMeth: A tool for process definition and execution	2006	[No abstract available]
	Fortino G.; Garro A.; Russo W.	Distributed workflow enactment: An agent-based framework	2006	This paper describes the design and the implementation of an Agent-based Workflow Enactment Framework (AWEF) which can be instantiated on the basis of a workflow schema for obtaining a specific workflow enactment engine. A workflow engine therefore is a MAS capable of managing instances of the workflow schema used for the instantiation of AWEF. Each MAS adopts a hierarchical organizational structure composed by an EnacterAgent, which is responsible of the activation and monitoring of the workflow, one or more ManagerAgents, which are responsible of the execution and control of the workflow/subworkflows according to a parent/child model, and one or more TaskAgents, which are responsible of the execution of internal tasks and/or of the wrapping of external tasks or services. The hierarchical distribution of the workflow execution control between the ManagerAgents and the distribution of the computation among the TaskAgents allow for more flexible, efficient, and robust enactment services.
	Garruzzo S.; Rosaci D.; Sarné G.M.L.	MAST: An agent framework to support B2C E-commerce	2006	In this paper we present an XML-based multi-agent system, called Multi Agent System for Traders (MAST), that completely supports Business-to-Customer E-commerce activities, including advertisements and payments. MAST helps both customers and merchants in their tasks with a homogeneous and personalized approach. In particular, E-payments in MAST are implemented under the availability of financial institutions. This avoids exchanging of sensible customers' information and reinforces the confidence between customers and merchants. A complete prototype of MAST has been implemented in the JADE framework, and it has been exploited for realizing some experiments, in order to evaluate its performances.
1	Oliva E.; Viroli M.; Omicini A.	Simulation of minority game in TuCSoN	2006	Minority Game (MG) is a mathematical model that takes inspiration from the “El Farol Bar” problem introduced by Brian Arthur (1). It is based on a simple scenario where at each step a set of agents perform a boolean vote which conceptually splits them in two classes: the agents in the smaller class win. In this game, a rational agent keeps track of previous votes and victories, and has the goal of winning throughout the steps of the game—for which a rational strategy has to be figured out. One of the most important applications of MG is in the market models: (2) use MG as a coarse-grained model for f inancial markets to study their fluctuation phenomena and statistical properties. Even though the model is coarse-grained and provides an over-simplified micro-scale description, it anyway captures the most relevant features of system interaction, and generates collective properties that are quite similar to those of the real system. Another point of view, presented e.g. by (3), considers the MGasapoint in space of a Resource Allocation Game (RAG). In this work a generalisation of MG is presented that relaxes the constraints on the number of resources, studying how the system behaves within a given range. MG can be considered a social simulation that aims to reproduce a simplified human scenario. In principle, a logic-based approach based on BDI agent makes it easier to explicitly model a variety of diverse social behaviours. As showed by (4), a multiagent system (MAS) can be used to realise a MG simulation—there, BDI agents provide for rationality and planning. An agent-based simulation is particularly useful when the simulated systems include autonomous entities that are diverse, thus making it difficult to exploit the traditional framework of mathematical equations. In order to implement MG simulations we adopt the TuCSoN infrastructure for agent coordination (5), which introduces tuple centres as artifact representatives. A tuple centre is a programmable coordination medium living in the MAS environment, used by agents interacting by exchanging tuples (logic tuples in the case of TuCSoN logic tuple centres). As we are not concerned much with the mere issues of agent intelligence, we rely here on a weak form of rationality, through logic-based agents adopting pre-compiled plans called operating instructions (6).
1	Morreale V.; Bonura S.; Francaviglia G.; Puccio M.; Centineo F.; Cammarata G.; Cossentino M.; Gaglio S.	PRACTIONIST: A framework for developing BDI agent systems	2006	A PRACTIONIST agent is a software component endowed with the following elements (figure 2): • aset of perceptions and the corresponding perceptors that listen to some relevant external stimuli; • a set of beliefs representing the information the agent has got about both its internal state and the external environment; • a set of goals the agent wishes or wants to pursue. They represent some states of affairs to bring about or activities to perform and will be related to either its desires or intentions (see below); • a set of goal relations the agent uses during the deliberation process and means-ends reasoning; • aset of plans that are the means to achieve its intentions; • a set of actions the agent can perform to act over its environment; and • a set of effectors that actually execute the actions. As shown in figure 2, PRACTIONIST agents are structured in two main layers: the framework defines the execution logic and provides the built-in components according to such a logic, while the top layer includes the specific agent components to be implemented, in order to satisfy system requirements.
	Castelli G.; Mamei A.R.M.; Zambonelli F.	The W4 model and infrastructure for contextaware browsing the world	2006	The imminent mass deployment of pervasive computing technologies such as sensor networks and RFID tags, together with the increasing participation of the Web community in feeding geo-located information within tools such as Google Earth, will soon make available an incredible amount of information about the physical and social worlds and their processes. This opens up the possibility of exploiting all such information for the provisioning of pervasive context-aware services for "browsing the world", i.e., for facilitating users in gathering information about the world, interacting with it, and understanding it. However, for this to occur, proper models and infrastructures must be developed. In this paper we propose a simple model for the representation of contextual information, the design and implementation of a general infrastructure for browsing the world, as well as some exemplar services we have implemented over it.
	Vecchiola C.; Grosso A.; Boccalatte A.	Integrating ontology support within AgentService	2006	This paper describes the software infrastructure introduced within the AgentService framework in order to provide support for ontology design, development, and management. Ontology enriches and normalizes the interaction among agents by establishing a domain and a set of relation among objects populating that domain. A good support for ontology definitely adds value to the design and the implementation of software agents: software engineers can take advantages of the servicesoffered by the framework to produce new ontologies and rely on them to quickly define interaction protocols which are automatically translated into state machines used by software agents.
